product_id,price,avg_rating,return_rate
P0933,7773,2.5,0.18
P0934,30444,4.4,0.04
P0935,9486,2.0,0.15
P0936,3496,2.8,0.19
P0937,12294,4.3,0.06
P0938,5709,2.9,0.2
P0939,1448,3.4,0.09
P0940,87042,4.1,0.04
P0941,5933,1.1,0.14
P0942,15883,4.4,0.08
P0943,18467,4.7,0.04
P0944,5030,1.5,0.22
P0945,757,3.9,0.2
P0946,56208,4.5,0.02
P0947,98811,4.5,0.05
P0948,9240,1.8,0.13
P0949,896,3.2,0.15
P0950,82915,4.3,0.04
P0951,926,3.7,0.07
P0952,11421,4.3,0.06
P0953,48470,4.7,0.01
P0954,531,3.9,0.08
P0955,10393,4.5,0.07
P0956,58634,4.3,0.04
P0957,7347,2.9,0.2
P0958,3500,2.5,0.07
P0959,9634,4.2,0.05
P0960,7832,2.8,0.13
P0961,2114,2.0,0.12
P0962,2955,1.6,0.21
P0963,15025,4.1,0.05
P0964,19530,4.0,0.04
P0965,18938,3.9,0.07
P0966,6542,1.7,0.16
P0967,5414,2.9,0.22
P0968,9351,1.4,0.29
P0969,19304,3.7,0.09
P0970,6729,4.3,0.07
P0971,6938,4.2,0.09
P0972,4412,2.0,0.21
P0973,84163,4.0,0.04
P0974,6226,2.9,0.21
P0975,6737,3.6,0.1
P0976,1035,3.6,0.1
P0977,22149,4.3,0.02
P0978,3564,3.1,0.2
P0979,3789,2.9,0.16
P0980,85480,4.7,0.04
P0981,2636,1.5,0.14
P0982,918,3.9,0.2
P0983,14321,3.8,0.02
P0984,8739,1.8,0.15
P0985,4861,3.7,0.11
P0986,90535,4.3,0.01
P0987,2760,3.4,0.1
P0988,3197,3.5,0.08
P0989,6375,4.7,0.07
P0990,22957,4.1,0.05
P0991,5370,4.4,0.07
P0992,88020,4.7,0.03
P0993,16912,3.9,0.06
P0994,8684,2.5,0.22
P0995,4741,3.9,0.08
P0996,5988,1.0,0.3
P0997,9742,1.8,0.15
P0998,4252,1.9,0.13
P0999,2474,2.7,0.1
P1000,99366,4.2,0.05
