article_id,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20
A0164,0.529,0.777,0.494,0.396,0.143,0.34,0.411,0.405,0.197,0.526,0.706,0.12,0.206,0.712,0.128,0.598,0.254,0.669,0.831,0.253
A0165,0.607,0.022,0.168,0.274,0.169,0.611,0.193,0.295,0.626,0.148,0.615,0.679,0.406,0.994,0.047,0.923,0.18,0.532,0.53,0.281
A0166,0.456,0.063,0.464,0.066,0.2,0.62,0.005,0.254,0.887,0.95,0.889,0.432,0.107,0.264,0.349,0.689,0.36,0.688,0.441,0.015
A0167,0.602,0.653,0.712,0.576,0.706,0.198,0.876,0.555,0.265,0.168,0.494,0.557,0.276,0.846,0.698,0.98,0.82,0.347,0.587,0.21
A0168,0.069,0.96,0.071,0.183,0.654,0.523,0.219,0.129,0.839,0.396,0.157,0.747,0.892,0.967,0.741,0.539,0.9,0.566,0.605,0.114
A0169,0.722,0.965,0.776,0.338,0.498,0.506,0.914,0.561,0.816,0.27,0.968,0.881,0.444,0.079,0.724,0.905,0.173,0.783,0.317,0.532
A0170,0.211,0.009,0.815,0.238,0.201,0.658,0.348,0.699,0.116,0.601,0.38,0.858,0.753,0.555,0.279,0.142,0.176,0.284,0.231,0.796
A0171,0.177,0.386,0.663,0.673,0.609,0.495,0.0,0.529,0.715,0.142,0.966,0.622,0.183,0.566,0.117,0.607,0.791,0.488,0.326,0.59
A0172,0.427,0.325,0.528,0.049,0.399,0.52,0.796,0.345,0.292,0.913,0.695,0.988,0.426,0.271,0.687,0.511,0.228,0.146,0.366,0.672
A0173,0.829,0.374,0.07,0.201,0.645,0.513,0.659,0.953,0.166,0.244,0.068,0.428,0.524,0.649,0.929,0.412,0.686,0.055,0.094,0.989
A0174,0.906,0.239,0.171,0.617,0.273,0.026,0.334,0.7,0.723,0.031,0.607,0.512,0.864,0.084,0.476,0.929,0.352,0.922,0.539,0.334
A0175,0.058,0.946,0.32,0.823,0.45,0.87,0.976,0.317,0.839,0.171,0.107,0.565,0.968,0.774,0.854,0.309,0.38,0.939,0.713,0.211
A0176,0.9,0.143,0.935,0.738,0.801,0.667,0.32,0.294,0.955,0.595,0.304,0.461,0.437,0.367,0.491,0.505,0.094,0.557,0.921,0.794
A0177,0.012,0.58,0.299,0.821,0.71,0.661,0.737,0.68,0.44,0.882,0.135,0.706,0.066,0.996,0.574,0.983,0.818,0.297,0.201,0.886
A0178,0.712,0.6,0.068,0.3,0.188,0.704,0.661,0.839,0.011,0.209,0.887,0.531,0.189,0.069,0.846,0.26,0.231,0.929,0.782,0.234
A0179,0.776,0.427,0.671,0.587,0.123,0.676,0.122,0.193,0.525,0.834,0.829,0.501,0.254,0.071,0.816,0.322,0.345,0.569,0.509,0.129
A0180,0.684,0.428,0.868,0.565,0.413,0.448,0.59,0.512,0.44,0.407,0.699,0.302,0.851,0.481,0.538,0.673,0.053,0.408,0.651,0.716
A0181,0.582,0.263,0.743,0.993,0.487,0.842,0.619,0.318,0.116,0.783,0.64,0.492,0.786,0.703,0.74,0.348,0.659,0.857,0.517,0.57
A0182,0.005,0.269,0.775,0.388,0.207,0.794,0.031,0.364,0.678,0.045,0.195,0.777,0.703,0.268,0.928,0.428,0.182,0.464,0.476,0.584
A0183,0.837,0.801,0.062,0.504,0.126,0.403,0.69,0.042,0.558,0.046,0.681,0.885,0.991,0.868,0.369,0.446,0.963,0.487,0.859,0.676
A0184,0.884,0.222,0.685,0.434,0.536,0.932,0.353,0.527,0.76,0.853,0.492,0.683,0.18,0.197,0.32,0.17,0.692,0.41,0.776,0.322
A0185,0.46,0.898,0.045,0.505,0.166,0.606,0.198,0.525,0.366,0.274,0.173,0.446,0.442,0.968,0.285,0.163,0.037,0.565,0.412,0.166
A0186,0.208,0.951,0.854,0.062,0.68,0.349,0.873,0.26,0.198,0.731,0.907,0.444,0.328,0.458,0.875,0.017,0.216,0.517,0.473,0.072
A0187,0.823,0.667,0.194,0.908,0.192,0.538,0.307,0.545,0.165,0.246,0.805,0.993,0.578,0.176,0.28,0.028,0.895,0.691,0.499,0.087
A0188,0.106,0.615,0.57,0.134,0.175,0.699,0.774,0.277,0.37,0.973,0.304,0.908,0.986,0.233,0.875,0.904,0.671,0.678,0.218,0.222
A0189,0.461,0.493,0.914,0.435,0.968,0.613,0.406,0.609,0.208,0.996,0.666,0.133,0.16,0.661,0.749,0.547,0.401,0.576,0.143,0.224
A0190,0.729,0.412,0.135,0.908,0.156,0.841,0.848,0.456,0.901,0.633,0.984,0.22,0.638,0.739,0.507,0.687,0.519,0.085,0.357,0.222
A0191,0.484,0.41,0.094,0.703,0.293,0.812,0.208,0.724,0.109,0.559,0.745,0.518,0.578,0.232,0.445,0.741,0.634,0.389,0.307,0.952
A0192,0.773,0.541,0.303,0.227,0.379,0.903,0.545,0.858,0.361,0.661,0.102,0.27,0.491,0.726,0.849,0.229,0.443,0.523,0.252,0.056
A0193,0.289,0.999,0.015,0.071,0.043,0.719,0.205,0.333,0.635,0.512,0.298,0.656,0.796,0.472,0.492,0.315,0.448,0.984,0.203,0.936
A0194,0.125,0.449,0.27,0.498,0.947,0.357,0.662,0.161,0.677,0.906,0.027,0.833,0.417,0.94,0.447,0.66,0.571,0.475,0.595,0.8
A0195,0.817,0.061,0.812,0.432,0.723,0.091,0.781,0.282,0.874,0.511,0.081,0.976,0.936,0.188,0.605,0.943,0.339,0.32,0.474,0.013
A0196,0.167,0.049,0.267,0.441,0.525,0.568,0.859,0.29,0.914,0.699,0.543,0.017,0.299,0.251,0.583,0.354,0.461,0.857,0.429,0.808
A0197,0.869,0.707,0.691,0.712,0.568,0.642,0.906,0.13,0.724,0.88,0.047,0.867,0.438,0.583,0.868,0.82,0.057,0.542,0.67,0.137
A0198,0.232,0.772,0.349,0.4,0.415,0.073,0.803,0.586,0.773,0.856,0.283,0.061,0.71,0.899,0.294,0.33,0.229,0.448,0.961,0.951
A0199,0.173,0.748,0.845,0.195,0.167,0.464,0.422,0.154,0.938,0.897,0.289,0.641,0.061,0.451,0.045,0.543,0.112,0.36,0.319,0.584
A0200,0.077,0.879,0.064,0.958,0.684,0.592,0.183,0.353,0.025,0.831,0.702,0.149,0.118,0.275,0.633,0.871,0.619,0.385,0.268,0.263
A0201,0.513,0.388,0.191,0.368,0.496,0.24,0.751,0.854,0.531,0.597,0.344,0.788,0.722,0.172,0.064,0.239,0.215,0.091,0.15,0.129
A0202,0.373,0.416,0.181,0.337,0.551,0.268,0.92,0.582,0.57,0.937,0.996,0.373,0.088,0.887,0.463,0.142,0.283,0.643,0.193,0.927
A0203,0.573,0.162,0.015,0.105,0.447,0.825,0.558,0.278,0.257,0.887,0.868,0.801,0.486,0.389,0.701,0.061,0.41,0.758,0.117,0.131
A0204,0.395,0.79,0.08,0.527,0.328,0.955,0.068,0.578,0.999,0.089,0.003,0.235,0.731,0.604,0.596,0.558,0.979,0.226,0.996,0.351
A0205,0.56,0.124,0.221,0.92,0.448,0.665,0.434,0.178,0.376,0.663,0.742,0.913,0.732,0.913,0.481,0.595,0.182,0.427,0.495,0.284
A0206,0.982,0.512,0.446,0.17,0.062,0.579,0.067,0.377,0.227,0.491,0.275,0.131,0.629,0.656,0.632,0.49,0.593,0.517,0.676,0.763
A0207,0.442,0.295,0.773,0.054,0.505,0.63,0.558,0.769,0.908,0.878,0.545,0.638,0.364,0.286,0.203,0.573,0.617,0.187,0.784,0.938
A0208,0.306,0.458,0.206,0.488,0.266,0.946,0.621,0.486,0.232,0.644,0.644,0.986,0.4,0.892,0.99,0.881,0.495,0.022,0.805,0.583
A0209,0.64,0.262,0.514,0.202,0.69,0.603,0.037,0.239,0.694,0.742,0.558,0.121,0.873,0.115,0.307,0.097,0.236,0.256,0.914,0.404
A0210,0.441,0.804,0.015,0.342,0.657,0.686,0.506,0.199,0.083,0.315,0.147,0.936,0.585,0.968,0.877,0.836,0.961,0.206,0.344,0.777
A0211,0.236,0.38,0.018,0.632,0.917,0.544,0.108,0.489,0.94,0.95,0.799,0.321,0.887,0.721,0.486,0.727,0.298,0.01,0.151,0.297
A0212,0.071,0.801,0.24,0.015,0.793,0.353,0.679,0.937,0.854,0.076,0.988,0.541,0.885,0.835,0.898,0.918,0.565,0.848,0.075,0.287
A0213,0.461,0.599,0.507,0.779,0.309,0.193,0.954,0.676,0.41,0.579,0.97,0.916,0.415,0.704,0.646,0.719,0.312,0.014,0.692,0.647
A0214,0.941,0.428,0.012,0.739,0.147,0.592,0.912,0.557,0.208,0.983,0.162,0.701,0.433,0.668,0.922,0.546,0.016,0.924,0.805,0.682
A0215,0.781,0.32,0.254,0.263,0.416,0.872,0.59,0.379,0.546,0.412,0.355,0.444,0.007,0.394,0.671,0.606,0.717,0.463,0.337,0.442
A0216,0.724,0.16,0.752,0.398,0.72,0.233,0.145,0.371,0.456,0.587,0.771,0.559,0.397,0.157,0.221,0.553,0.67,0.733,0.413,0.786
A0217,0.987,0.588,0.051,0.192,0.921,0.142,0.645,0.691,0.496,0.202,0.019,0.735,0.096,0.598,0.726,0.605,0.234,0.455,0.43,0.797
A0218,0.992,0.336,0.128,0.337,0.304,0.328,0.672,0.566,0.376,0.376,0.382,0.315,0.644,0.912,0.398,0.943,0.786,0.627,0.004,0.914
A0219,0.282,0.258,0.166,0.264,0.905,0.735,0.09,0.118,0.281,0.952,0.097,0.473,0.075,0.445,0.227,0.124,0.536,0.305,0.205,0.849
A0220,0.216,0.637,0.384,0.791,0.248,0.516,0.149,0.581,0.155,0.356,0.92,0.566,0.227,0.007,0.048,0.024,0.113,0.255,0.259,0.172
A0221,0.902,0.996,0.07,0.723,0.049,0.419,0.558,0.125,0.443,0.33,0.87,0.667,0.677,0.006,0.945,0.161,0.273,0.381,0.226,0.012
A0222,0.448,0.768,0.377,0.783,0.91,0.68,0.474,0.115,0.576,0.672,0.95,0.512,0.425,0.615,0.063,0.858,0.198,0.87,0.436,0.353
A0223,0.375,0.545,0.651,0.876,0.527,0.276,0.198,0.104,0.369,0.06,0.106,0.046,0.908,0.172,0.912,0.4,0.959,0.028,0.752,0.123
A0224,0.123,0.811,0.435,0.47,0.179,0.769,0.632,0.969,0.292,0.907,0.1,0.116,0.376,0.625,0.761,0.789,0.79,0.853,0.492,0.571
A0225,0.311,0.634,0.908,0.113,0.93,0.896,0.179,0.358,0.931,0.101,0.836,0.006,0.255,0.244,0.326,0.935,0.465,0.701,0.67,0.424
A0226,0.599,0.393,0.403,0.614,0.137,0.458,0.602,0.031,0.218,0.937,0.265,0.892,0.883,0.844,0.954,0.011,0.246,0.033,0.278,0.13
A0227,0.146,0.556,0.628,0.324,0.699,0.835,0.342,0.194,0.564,0.732,0.155,0.157,0.486,0.752,0.804,0.683,0.563,0.283,0.111,0.577
A0228,0.621,0.054,0.936,0.166,0.025,0.408,0.001,0.285,0.833,0.042,0.807,0.78,0.495,0.227,0.826,0.707,0.674,0.745,0.08,0.517
A0229,0.285,0.317,0.828,0.655,0.983,0.057,0.787,0.959,0.958,0.48,0.414,0.756,0.246,0.809,0.116,0.283,0.225,0.249,0.321,0.284
A0230,0.542,0.337,0.13,0.065,0.926,0.77,0.93,0.485,0.288,0.558,0.758,0.786,0.996,0.571,0.212,0.719,0.881,0.865,0.992,0.886
A0231,0.602,0.466,0.221,0.16,0.347,0.399,0.905,0.043,0.528,0.415,0.02,0.999,0.697,0.372,0.234,0.868,0.844,0.851,0.087,0.925
A0232,0.035,0.075,0.998,0.229,0.704,0.249,0.273,0.014,0.368,0.115,0.12,0.406,0.906,0.392,0.554,0.608,0.748,0.154,0.668,0.293
A0233,0.938,0.573,0.895,0.409,0.067,0.465,0.726,0.335,0.973,0.051,0.996,0.484,0.239,0.932,0.187,0.737,0.36,0.237,0.316,0.598
A0234,0.191,0.815,0.678,0.311,0.256,0.73,0.137,0.082,0.121,0.71,0.853,0.082,1.0,0.262,0.843,0.264,0.194,0.446,0.784,0.593
A0235,0.736,0.671,0.152,0.042,0.728,0.505,0.144,0.631,0.997,0.934,0.771,0.6,0.681,0.848,0.68,0.61,0.596,0.838,0.064,0.281
A0236,0.111,0.894,0.773,0.537,0.877,0.452,0.463,0.364,0.703,0.488,0.62,0.997,0.521,0.018,0.307,0.35,0.884,0.543,0.996,0.563
A0237,0.582,0.924,0.106,0.49,0.408,0.889,0.086,0.716,0.312,0.731,0.931,0.984,0.978,0.61,0.401,0.691,0.498,0.041,0.156,0.591
A0238,0.073,0.252,0.295,0.842,0.672,0.712,0.415,0.446,0.04,0.313,0.642,0.939,0.56,0.167,0.787,0.524,0.981,0.182,0.758,0.989
A0239,0.558,0.306,0.212,0.377,0.466,0.415,0.94,0.934,0.909,0.174,0.016,0.878,0.573,0.598,0.789,0.066,0.724,0.758,0.241,0.346
A0240,0.782,0.81,0.095,0.156,0.945,0.768,0.241,0.539,0.791,0.369,0.198,0.125,0.262,0.183,0.756,0.351,0.019,0.961,0.874,0.392
A0241,0.841,0.602,0.975,0.409,0.878,0.616,0.147,0.685,0.919,0.082,0.922,0.418,0.573,0.861,0.841,0.443,0.313,0.228,0.228,0.057
A0242,0.855,0.534,0.132,0.184,0.671,0.297,0.315,0.015,0.049,0.123,0.575,0.036,0.987,0.551,0.226,0.97,0.799,0.45,0.864,0.633
A0243,0.317,0.771,0.259,0.629,0.422,0.154,0.864,0.68,0.273,0.031,0.701,0.488,0.584,0.035,0.573,0.74,0.339,0.557,0.303,0.57
A0244,0.046,0.264,0.415,0.277,0.331,0.087,0.337,0.678,0.019,0.275,0.925,0.466,0.475,0.615,0.912,0.733,0.066,0.812,0.88,0.527
A0245,0.91,0.304,0.846,0.772,0.049,0.945,0.98,0.112,0.788,0.278,0.426,0.122,0.866,0.617,0.937,0.0,0.162,0.059,0.522,0.634
A0246,0.053,0.315,0.569,0.63,0.103,0.014,0.317,0.415,0.314,0.791,0.889,0.838,0.388,0.75,0.458,0.971,0.1,0.205,0.047,0.421
A0247,0.722,0.384,0.38,0.502,0.945,0.669,0.449,0.908,0.713,0.311,0.452,0.083,0.975,0.013,0.605,0.271,0.455,0.332,0.072,0.362
A0248,0.228,0.516,0.568,0.039,0.589,0.316,0.316,0.087,0.285,0.392,0.618,0.69,0.612,0.419,0.763,0.896,0.407,0.213,0.295,0.147
A0249,0.896,0.44,0.324,0.157,0.568,0.375,0.22,0.094,0.785,0.183,0.46,0.46,0.327,0.258,0.717,0.124,0.918,0.171,0.184,0.961
A0250,0.761,0.454,0.056,0.551,0.757,0.618,0.076,0.916,0.668,0.253,0.744,0.971,0.614,0.798,0.318,0.987,0.895,0.527,0.342,0.927
A0251,0.71,0.114,0.808,0.407,0.052,0.385,0.587,0.249,0.253,0.59,0.975,0.937,0.684,0.042,0.057,0.002,0.815,0.969,0.549,0.636
A0252,0.488,0.254,0.794,0.018,0.188,0.535,0.811,0.18,0.855,0.482,0.49,0.627,0.505,0.554,0.521,0.055,0.755,0.645,0.732,0.259
A0253,0.849,0.617,0.423,0.356,0.152,0.486,0.123,0.3,0.788,0.886,0.414,0.076,0.713,0.802,0.633,0.219,0.887,0.174,0.928,0.069
A0254,0.723,0.543,0.56,0.575,0.292,0.832,0.178,0.069,0.486,0.362,0.432,0.722,0.044,0.344,0.134,0.71,0.507,0.555,0.059,0.277
A0255,0.109,0.673,0.428,0.37,0.154,0.681,0.597,0.934,0.738,0.048,0.847,0.597,0.701,0.062,0.398,0.038,0.341,0.156,0.531,0.919
A0256,0.32,0.433,0.779,0.284,0.432,0.191,0.4,0.775,0.451,0.923,0.609,0.04,0.412,0.072,0.611,0.161,0.418,0.446,0.742,0.944
A0257,0.13,0.638,0.327,0.849,0.807,0.744,0.604,0.855,0.795,0.026,0.243,0.419,0.583,0.422,0.026,0.01,0.389,0.84,0.115,0.925
A0258,0.589,0.628,0.919,0.413,0.153,0.242,0.261,0.093,0.411,0.335,0.162,0.605,0.708,0.082,0.091,0.806,0.383,0.342,0.384,0.207
A0259,0.783,0.76,0.077,0.976,0.01,0.915,0.407,0.944,0.198,0.635,0.552,0.379,0.127,0.302,0.614,0.555,0.85,0.561,0.758,0.845
A0260,0.172,0.515,0.398,0.972,0.952,0.476,0.869,0.187,0.314,0.193,0.576,0.601,0.863,0.059,0.851,0.466,0.299,0.807,0.048,0.954
A0261,0.863,0.098,0.881,0.619,0.621,0.883,0.067,0.251,0.034,0.689,0.663,0.08,0.642,0.59,0.517,0.675,0.49,0.702,0.453,0.652
A0262,0.827,0.634,0.73,0.075,0.257,0.479,0.325,0.85,0.866,0.868,0.09,0.042,0.707,0.646,0.307,0.585,0.929,0.702,0.844,0.851
A0263,0.347,0.295,0.126,0.393,0.957,0.939,0.811,0.986,0.28,0.378,0.953,0.126,0.468,0.544,0.637,0.641,0.214,0.91,0.96,0.006
A0264,0.991,0.282,0.375,0.143,0.419,0.903,0.52,0.481,0.458,0.812,0.584,0.485,0.692,0.237,0.282,0.654,0.475,0.403,0.906,0.943
A0265,0.677,0.971,0.287,0.881,0.158,0.423,0.039,0.196,0.728,0.411,0.006,0.406,0.534,0.212,0.622,0.958,0.956,0.032,0.235,0.646
A0266,0.514,0.017,0.023,0.727,0.616,0.045,0.236,0.736,0.126,0.455,0.564,0.197,0.851,0.305,0.788,0.072,0.003,0.007,0.341,0.115
A0267,0.214,0.65,0.166,0.263,0.725,0.51,0.743,0.196,0.052,0.769,0.498,0.849,0.812,0.056,0.986,0.07,0.561,0.315,0.632,0.283
A0268,0.394,0.872,0.365,0.747,0.642,0.774,0.826,0.158,0.19,0.446,0.139,0.823,0.737,0.015,0.665,0.335,0.601,0.764,0.353,0.701
A0269,0.274,0.992,0.624,0.819,0.149,0.068,0.031,0.446,0.96,0.832,0.066,0.82,0.673,0.669,0.372,0.696,0.574,0.777,0.001,0.835
A0270,0.284,0.074,0.563,0.361,0.938,0.964,0.588,0.556,0.599,0.981,0.497,0.795,0.673,0.171,0.511,0.011,0.004,0.764,0.636,0.036
A0271,0.625,0.682,0.731,0.392,0.922,0.927,0.294,0.392,0.632,0.423,0.244,0.964,0.28,0.918,0.865,0.53,0.573,0.343,0.234,0.148
A0272,0.093,0.513,0.247,0.994,0.361,0.756,0.996,0.616,0.753,0.489,0.877,0.987,0.275,0.914,0.016,0.643,0.977,0.698,0.519,0.048
A0273,0.185,0.412,0.538,0.775,0.801,0.21,0.486,0.102,0.106,0.27,0.082,0.177,0.768,0.814,0.187,0.024,0.453,0.681,0.844,0.745
A0274,0.099,0.696,0.79,0.022,0.901,0.022,0.646,0.59,0.04,0.013,0.553,0.213,0.627,0.929,0.641,0.906,0.942,0.733,0.729,0.699
A0275,0.455,0.441,0.097,0.684,0.492,0.089,0.063,0.095,0.74,0.779,0.716,0.855,0.924,0.79,0.353,0.812,0.252,0.809,0.457,0.053
A0276,0.6,0.309,0.278,0.831,0.901,0.58,0.129,0.915,0.096,0.903,0.562,0.184,0.885,0.471,0.503,0.209,0.191,0.49,0.681,0.283
A0277,0.359,0.472,0.631,0.976,0.93,0.255,0.968,0.986,0.799,0.949,0.291,0.453,0.25,0.272,0.14,0.975,0.777,0.904,0.793,0.485
A0278,0.044,0.335,0.395,0.76,0.104,0.982,0.323,0.444,0.57,0.893,0.333,0.215,0.448,0.818,0.681,0.089,0.791,0.872,0.702,0.364
A0279,0.673,0.166,0.037,0.05,0.956,0.744,0.048,0.02,0.112,0.2,0.931,0.659,0.022,0.369,0.677,0.173,0.034,0.476,0.268,0.82
A0280,0.557,0.552,0.833,0.062,0.46,0.916,0.484,0.604,0.969,0.27,0.751,0.135,0.164,0.064,0.699,0.693,0.311,0.636,0.688,0.562
A0281,0.172,0.14,0.36,0.126,0.284,0.085,0.115,0.147,0.107,0.76,0.992,0.407,0.067,0.595,0.466,0.917,0.929,0.941,0.869,0.146
A0282,0.957,0.002,0.065,0.562,0.386,0.559,0.676,0.001,0.04,0.552,0.536,0.393,0.181,0.062,0.163,0.984,0.852,0.933,0.156,0.803
A0283,0.577,0.599,0.622,0.526,0.354,0.975,0.735,0.494,0.462,0.451,0.168,0.349,0.793,0.917,0.797,0.469,0.167,0.606,0.739,0.242
A0284,0.04,0.317,0.977,0.766,0.093,0.18,0.826,0.29,0.824,0.407,0.232,0.44,0.666,0.882,0.775,0.003,0.633,0.06,0.173,0.063
A0285,0.192,0.298,0.075,0.031,0.167,0.98,0.432,0.644,0.5,0.647,0.366,0.882,0.1,0.614,0.36,0.83,0.948,0.25,0.068,0.358
A0286,0.808,0.287,0.898,0.15,0.072,0.995,0.309,0.098,0.866,0.172,0.495,0.79,0.499,0.816,0.497,0.448,0.35,0.658,0.372,0.584
A0287,0.549,0.143,0.135,0.769,0.432,0.371,0.863,0.506,0.395,0.444,0.862,0.951,0.135,0.396,0.787,0.744,0.437,0.14,0.757,0.895
A0288,0.7,0.382,0.754,0.494,0.091,0.569,0.659,0.006,0.839,0.303,0.895,0.031,0.052,0.537,0.975,0.411,0.522,0.031,0.786,0.292
A0289,0.09,0.637,0.864,0.561,0.956,0.243,0.691,0.635,0.393,0.495,0.84,0.967,0.914,0.016,0.867,0.614,0.904,0.037,0.723,0.599
A0290,0.694,0.983,0.056,0.959,0.764,0.263,0.863,0.04,0.782,0.139,0.241,0.931,0.016,0.115,0.86,0.869,0.181,0.657,0.355,0.617
A0291,0.831,0.828,0.868,0.173,0.817,0.794,0.445,0.281,0.561,0.781,0.084,0.322,0.161,0.623,0.035,0.764,0.874,0.673,0.018,0.599
A0292,0.654,0.054,0.659,0.181,0.653,0.237,0.074,0.304,0.954,0.663,0.022,0.286,0.565,0.811,0.724,0.727,0.271,0.989,0.894,0.501
A0293,0.996,0.963,0.028,0.755,0.335,0.345,0.606,0.144,0.895,0.678,0.8,0.233,0.811,0.73,0.436,0.005,0.782,0.098,0.405,0.481
A0294,0.896,0.051,0.133,0.436,0.441,0.682,0.23,0.181,0.793,0.274,0.282,0.182,0.665,0.186,0.373,0.204,0.11,0.192,0.15,0.77
A0295,0.269,0.007,0.856,0.324,0.35,0.443,0.101,0.934,0.036,0.541,0.508,0.474,0.778,0.9,0.142,0.903,0.476,0.746,0.963,0.364
A0296,0.824,0.944,0.373,0.101,0.719,0.873,0.215,0.496,0.96,0.345,0.967,0.243,0.322,0.248,0.735,0.364,0.739,0.712,0.793,0.575
A0297,0.785,0.699,0.641,0.75,0.983,0.342,0.828,0.022,0.016,0.412,0.962,0.991,0.699,0.165,0.194,0.538,0.014,0.379,0.417,0.245
A0298,0.825,0.767,0.73,0.854,0.272,0.88,0.646,0.583,0.287,0.751,0.15,0.312,0.299,0.817,0.668,0.226,0.59,0.307,0.334,0.042
A0299,0.04,0.034,0.243,0.72,0.493,0.728,0.234,0.827,0.246,0.791,0.717,0.19,0.14,0.824,0.112,0.612,0.047,0.562,0.628,0.174
A0300,0.75,0.073,0.175,0.081,0.717,0.974,0.459,0.014,0.565,0.343,0.82,0.535,0.292,0.832,0.125,0.217,0.208,0.461,0.383,0.519
A0301,0.771,0.513,0.919,0.169,0.01,0.85,0.57,0.195,0.711,0.839,0.157,0.317,0.29,0.343,0.58,0.418,0.631,0.486,0.764,0.106
A0302,0.415,0.797,0.465,0.531,0.96,0.218,0.576,0.536,0.733,0.481,0.718,0.655,0.545,0.816,0.42,0.476,0.828,0.926,0.026,0.597
A0303,0.464,0.355,0.687,0.066,0.673,0.881,0.896,0.772,0.717,0.278,0.663,0.404,0.688,0.887,0.017,0.048,0.911,0.261,0.358,0.817
A0304,0.55,0.054,0.707,0.987,0.042,0.396,0.666,0.516,0.055,0.419,0.312,0.645,0.208,0.518,0.018,0.082,0.159,0.661,0.807,0.751
A0305,0.765,0.97,0.473,0.544,0.801,0.154,0.065,0.217,0.969,0.763,0.501,0.999,0.117,0.377,0.176,0.457,0.381,0.587,0.204,0.408
A0306,0.858,0.874,0.113,0.493,0.48,0.541,0.469,0.028,0.547,0.45,0.388,0.659,0.063,0.748,0.501,0.15,0.745,0.975,0.312,0.826
A0307,0.435,0.258,0.577,0.053,0.706,0.175,0.48,0.886,0.452,0.823,0.766,0.581,0.411,0.637,0.019,0.266,0.412,0.475,0.215,0.634
A0308,0.766,0.39,0.713,0.239,0.173,0.697,0.693,0.857,0.752,0.901,0.834,0.748,0.746,0.191,0.951,0.204,0.334,0.954,0.901,0.68
A0309,0.791,0.029,0.974,0.386,0.075,0.703,0.985,0.708,0.387,0.375,0.243,0.147,0.891,0.295,0.416,0.216,0.063,0.107,0.521,0.549
A0310,0.022,0.343,0.904,0.184,0.835,0.419,0.065,0.985,0.728,0.486,0.245,0.809,0.154,0.361,0.602,0.975,0.177,0.685,0.041,0.798
A0311,0.464,0.73,0.634,0.921,0.881,0.715,0.41,0.689,0.673,0.208,0.177,0.934,0.569,0.833,0.2,0.393,0.566,0.49,0.25,0.628
A0312,0.727,0.479,0.106,0.182,0.504,0.552,0.299,0.892,0.405,0.483,0.069,0.599,0.962,0.756,0.031,0.571,0.822,0.08,0.605,0.824
A0313,0.965,0.825,0.701,0.102,0.598,0.978,0.404,0.258,0.906,0.857,0.139,0.371,0.147,0.484,0.597,0.929,0.195,0.481,0.169,0.743
A0314,0.613,0.411,0.303,0.647,0.359,0.778,0.057,0.621,0.747,0.281,0.328,0.742,0.325,0.044,0.522,0.073,0.725,0.299,0.668,0.886
A0315,0.343,0.658,0.078,0.958,0.224,0.653,0.015,0.171,0.795,0.695,0.21,0.808,0.786,0.385,0.345,0.043,0.001,0.952,0.858,0.376
A0316,0.586,0.963,0.569,0.802,0.357,0.336,0.663,0.397,0.985,0.911,0.273,0.406,0.359,0.689,0.718,0.332,0.638,0.872,0.8,0.264
A0317,0.803,0.359,0.753,0.397,0.239,0.491,0.175,0.638,0.956,0.134,0.993,0.346,0.004,0.244,0.534,0.719,0.991,0.215,0.391,0.824
A0318,0.008,0.042,0.122,0.291,0.06,0.72,0.401,0.9,0.338,0.136,0.241,0.354,0.885,0.496,0.628,0.789,0.952,0.679,0.758,0.895
A0319,0.736,0.014,0.343,0.328,0.143,0.206,0.141,0.352,0.509,0.647,0.696,0.542,0.365,0.178,0.717,0.648,0.203,0.733,0.871,0.156
A0320,0.339,0.137,0.82,0.173,0.548,0.231,0.434,0.855,0.938,0.235,0.017,0.097,0.942,0.212,0.571,0.129,0.036,0.29,0.144,0.729
A0321,0.774,0.259,0.989,0.878,0.802,0.211,0.657,0.763,0.442,0.126,0.163,0.273,0.112,0.482,0.202,0.501,0.142,0.343,0.56,0.74
A0322,0.069,0.96,0.768,0.427,0.221,0.567,0.947,0.63,0.503,0.134,0.033,0.329,0.193,0.087,0.325,0.018,0.26,0.812,0.857,0.287
A0323,0.001,0.213,0.996,0.799,0.726,0.672,0.443,0.757,0.719,0.712,0.554,0.444,0.637,0.33,0.084,0.53,0.627,0.767,0.868,0.511
A0324,0.477,0.052,0.468,0.829,0.235,0.245,0.905,0.633,0.046,0.717,0.82,0.687,0.278,0.813,0.477,0.148,0.836,0.913,0.723,0.885
A0325,0.983,0.395,0.313,0.25,0.979,0.548,0.802,0.975,0.6,0.961,0.034,0.628,0.522,0.59,0.111,0.287,0.967,0.216,0.987,0.983
A0326,0.252,0.022,0.566,0.1,0.893,0.677,0.844,0.532,0.193,0.445,0.914,0.575,0.173,0.067,0.481,0.234,0.379,0.304,0.566,0.685
A0327,0.992,0.419,0.405,0.334,0.481,0.04,0.17,0.98,0.421,0.618,0.761,0.877,0.48,0.943,0.027,0.231,0.223,0.494,0.465,0.289
