cap_shape,cap_color,odor,gill_color,class
Knobbed,Red,Foul,Gray,Poisonous
Knobbed,Yellow,Almond,Black,Edible
Flat,Yellow,None,White,Edible
Bell,Brown,None,Black,Edible
Bell,Red,Almond,White,Edible
Bell,White,Almond,White,Edible
Flat,Yellow,Foul,White,Poisonous
Flat,White,None,Gray,Edible
Conical,White,None,Brown,Edible
Conical,Red,None,Gray,Poisonous
Flat,Red,None,Black,Poisonous
Knobbed,Yellow,None,Black,Edible
Flat,Yellow,None,Black,Edible
Conical,White,Almond,Gray,Edible
Flat,Brown,None,White,Edible
Flat,White,Almond,Brown,Edible
Bell,Brown,None,White,Edible
Conical,Yellow,Almond,Brown,Edible
Bell,White,Foul,Gray,Poisonous
Knobbed,White,Almond,Gray,Edible
Knobbed,Brown,Almond,Gray,Edible
Knobbed,Red,None,White,Poisonous
Conical,White,Almond,White,Edible
Knobbed,Yellow,Almond,Gray,Edible
Flat,Red,Foul,White,Poisonous
Bell,White,Almond,Brown,Edible
Knobbed,Brown,Almond,Brown,Edible
Bell,Brown,None,Brown,Edible
Knobbed,White,Foul,White,Poisonous
Flat,Yellow,Foul,White,Poisonous
Knobbed,White,Almond,Brown,Edible
Knobbed,Yellow,None,Brown,Edible
Flat,Yellow,Almond,Brown,Edible
Flat,Red,Almond,Black,Edible
Bell,White,None,Brown,Edible
Conical,Red,None,White,Poisonous
Conical,Brown,None,Gray,Edible
Bell,White,None,Brown,Edible
Bell,White,None,Black,Edible
Flat,Red,None,White,Poisonous
Knobbed,Red,None,White,Poisonous
Knobbed,Red,Foul,Gray,Poisonous
Bell,Yellow,Foul,Black,Poisonous
Knobbed,Red,Almond,Brown,Edible
Flat,Brown,Foul,Gray,Poisonous
Flat,Red,Foul,Gray,Poisonous
Knobbed,White,None,Black,Edible
Knobbed,Yellow,None,Black,Edible
Flat,White,None,Black,Edible
Flat,White,None,Brown,Edible
Flat,Red,None,Gray,Poisonous
Knobbed,White,Almond,Black,Edible
Flat,Brown,None,Gray,Edible
Bell,White,None,White,Edible
Knobbed,White,Foul,Brown,Poisonous
Conical,Brown,Foul,Black,Poisonous
Bell,Red,Almond,White,Edible
Knobbed,Yellow,Almond,White,Edible
Bell,Yellow,Almond,White,Edible
Knobbed,Red,None,Black,Poisonous
Flat,Brown,Foul,Brown,Poisonous
Bell,Brown,None,Brown,Edible
Flat,Yellow,Foul,Black,Poisonous
Conical,Yellow,Almond,White,Edible
Knobbed,Red,None,White,Poisonous
Knobbed,Yellow,Foul,Brown,Poisonous
Conical,Red,Foul,Brown,Poisonous
Knobbed,Brown,Almond,Gray,Edible
Knobbed,Yellow,Almond,Black,Edible
Knobbed,Yellow,Foul,Brown,Poisonous
Knobbed,Red,Almond,White,Edible
Conical,Red,None,Gray,Poisonous
Bell,Yellow,Foul,Brown,Poisonous
Flat,Brown,Almond,Gray,Edible
Conical,Brown,Almond,Gray,Edible
Flat,Red,Foul,White,Poisonous
Conical,Red,Foul,White,Poisonous
Conical,Brown,None,Brown,Edible
Bell,White,Almond,Gray,Edible
Conical,White,Foul,Gray,Poisonous
Flat,White,None,Black,Edible
Flat,Brown,Foul,Gray,Poisonous
Knobbed,Brown,Almond,Black,Edible
Bell,Brown,Foul,Gray,Poisonous
Conical,White,Almond,Brown,Edible
Conical,Red,Foul,Brown,Poisonous
Flat,White,Almond,Black,Edible
Flat,Brown,Almond,White,Edible
Knobbed,Yellow,None,Brown,Edible
Bell,Red,None,Brown,Poisonous
Knobbed,Yellow,Foul,White,Poisonous
Bell,Yellow,Almond,White,Edible
Conical,Brown,None,Black,Edible
Bell,Red,Foul,Gray,Poisonous
Flat,Yellow,None,Brown,Edible
Flat,Red,Foul,White,Poisonous
Flat,Yellow,Foul,Black,Poisonous
Conical,Yellow,Foul,Brown,Poisonous
Knobbed,Red,Almond,White,Edible
Bell,White,None,Gray,Edible
Bell,White,None,Black,Edible
Bell,White,None,White,Edible
Bell,White,Foul,Gray,Poisonous
Conical,Yellow,Foul,Gray,Poisonous
Knobbed,White,Foul,Gray,Poisonous
Bell,Yellow,Foul,White,Poisonous
Flat,Brown,Foul,Black,Poisonous
Bell,Yellow,Foul,White,Poisonous
Bell,White,Almond,Brown,Edible
Knobbed,Yellow,None,Black,Edible
Flat,Red,None,Gray,Poisonous
Conical,White,Almond,Gray,Edible
Knobbed,Yellow,None,Black,Edible
Bell,Brown,None,Brown,Edible
Flat,Brown,Foul,White,Poisonous
Flat,Red,Almond,Gray,Edible
Conical,White,Foul,Brown,Poisonous
Conical,Brown,None,Black,Edible
Flat,White,Foul,White,Poisonous
Conical,Brown,Almond,White,Edible
Flat,White,None,Brown,Edible
Bell,Brown,Almond,White,Edible
Conical,Yellow,Foul,White,Poisonous
Flat,White,None,Brown,Edible
Bell,Brown,None,Brown,Edible
Knobbed,Brown,None,White,Edible
Flat,Red,None,Gray,Poisonous
Bell,Red,Foul,White,Poisonous
Flat,Brown,None,Brown,Edible
Bell,Yellow,None,Black,Edible
Conical,White,Foul,Brown,Poisonous
Flat,Red,Foul,White,Poisonous
Bell,Red,Foul,Gray,Poisonous
Flat,Yellow,Almond,Gray,Edible
Flat,Red,None,Gray,Poisonous
Knobbed,Red,Almond,White,Edible
Flat,Yellow,Foul,Black,Poisonous
Knobbed,Brown,None,Brown,Edible
Bell,Red,None,Gray,Poisonous
Knobbed,Red,Foul,White,Poisonous
Knobbed,White,Foul,White,Poisonous
Knobbed,Red,Almond,Gray,Edible
Conical,Red,Foul,White,Poisonous
Bell,White,None,Brown,Edible
Bell,Yellow,Foul,Gray,Poisonous
Knobbed,Brown,Almond,Brown,Edible
Bell,White,Foul,Brown,Poisonous
Knobbed,Yellow,Almond,Black,Edible
Conical,Yellow,Foul,Gray,Poisonous
Flat,Red,Foul,Black,Poisonous
Bell,Yellow,None,White,Edible
Conical,White,Foul,Gray,Poisonous
Bell,Brown,Almond,Black,Edible
Flat,Red,Almond,Brown,Edible
Flat,Brown,Almond,Brown,Edible
Flat,Yellow,Almond,Gray,Edible
Knobbed,Yellow,None,Brown,Edible
Conical,Yellow,Foul,Gray,Poisonous
Flat,White,Almond,White,Edible
Bell,White,Foul,Gray,Poisonous
Knobbed,White,Foul,Brown,Poisonous
Flat,White,Almond,White,Edible
Conical,Red,Foul,Gray,Poisonous
Conical,Yellow,None,Black,Edible
Knobbed,White,None,Brown,Edible
Conical,Yellow,Almond,Gray,Edible
Flat,Brown,Almond,Brown,Edible
Conical,White,Almond,White,Edible
Bell,Brown,Foul,Gray,Poisonous
Bell,Red,Foul,Brown,Poisonous
Bell,Brown,Almond,Brown,Edible
Knobbed,Yellow,Foul,Brown,Poisonous
Bell,Brown,Foul,Gray,Poisonous
Conical,White,Almond,White,Edible
Conical,White,None,Brown,Edible
Conical,Red,Almond,Gray,Edible
Bell,Red,Almond,Gray,Edible
Flat,Yellow,None,Brown,Edible
Conical,Red,Foul,White,Poisonous
Conical,White,Almond,Black,Edible
Knobbed,White,None,Brown,Edible
Flat,Red,Almond,White,Edible
Conical,Yellow,Foul,Gray,Poisonous
Bell,Brown,Almond,Black,Edible
Bell,Yellow,Almond,Brown,Edible
Flat,Red,None,Brown,Poisonous
Knobbed,Brown,Foul,Black,Poisonous
Flat,Yellow,Almond,Brown,Edible
Conical,Red,Foul,Gray,Poisonous
Conical,Red,Foul,Brown,Poisonous
Knobbed,Red,Foul,Brown,Poisonous
Flat,Red,Almond,White,Edible
Conical,White,Foul,Black,Poisonous
Conical,Brown,Almond,Brown,Edible
Flat,Brown,Foul,Brown,Poisonous
Bell,Brown,None,Brown,Edible
Flat,Red,Almond,Black,Edible
Bell,Red,Almond,White,Edible
Bell,Brown,Foul,Gray,Poisonous
Flat,Yellow,Almond,Black,Edible
Conical,Red,None,Gray,Poisonous
Bell,Yellow,Almond,Gray,Edible
Knobbed,Red,None,White,Poisonous
Flat,Yellow,Foul,White,Poisonous
Knobbed,Brown,Foul,Brown,Poisonous
Bell,Yellow,Almond,White,Edible
Bell,Yellow,Almond,White,Edible
Conical,White,Almond,Gray,Edible
Bell,White,Foul,Brown,Poisonous
Flat,White,Almond,Brown,Edible
Flat,Yellow,Almond,Gray,Edible
Flat,Brown,Foul,Black,Poisonous
Conical,Brown,Almond,White,Edible
Knobbed,Brown,Foul,Black,Poisonous
Knobbed,Yellow,Foul,Brown,Poisonous
Bell,Yellow,None,Black,Edible
Bell,Yellow,None,Gray,Edible
Flat,Brown,None,Gray,Edible
Knobbed,Yellow,Almond,Gray,Edible
Conical,Yellow,Almond,Black,Edible
Knobbed,Yellow,Foul,Gray,Poisonous
Conical,Brown,None,White,Edible
Knobbed,White,Foul,Gray,Poisonous
Bell,Brown,Almond,Gray,Edible
Bell,Brown,Almond,White,Edible
Flat,White,Almond,Brown,Edible
Bell,Yellow,None,Black,Edible
Conical,Red,Foul,White,Poisonous
Bell,Red,Almond,Brown,Edible
Conical,Yellow,Foul,Black,Poisonous
Conical,Yellow,Foul,Brown,Poisonous
Bell,White,None,Brown,Edible
Conical,Brown,None,Gray,Edible
Conical,White,Almond,Gray,Edible
Bell,Red,None,Gray,Poisonous
Flat,Yellow,Almond,Gray,Edible
Conical,Red,Foul,Black,Poisonous
Conical,White,Almond,Brown,Edible
Conical,Red,Almond,Brown,Edible
Bell,Brown,Almond,Gray,Edible
Conical,White,Almond,Gray,Edible
Bell,White,Almond,Gray,Edible
Flat,White,Almond,Black,Edible
Flat,Yellow,Almond,White,Edible
Bell,Red,None,Black,Poisonous
Flat,Brown,Foul,Brown,Poisonous
Conical,White,Almond,Black,Edible
Flat,White,None,Gray,Edible
Knobbed,Yellow,Almond,White,Edible
Conical,Brown,Almond,Black,Edible
Knobbed,Red,Foul,White,Poisonous
Conical,Brown,Foul,White,Poisonous
Conical,Yellow,Almond,White,Edible
Conical,White,None,Brown,Edible
Conical,Red,Almond,Gray,Edible
Conical,Brown,None,Black,Edible
Flat,Brown,Almond,Black,Edible
Conical,Red,Foul,Gray,Poisonous
Flat,Red,Foul,Brown,Poisonous
Knobbed,Red,Almond,Brown,Edible
Flat,Yellow,Almond,Gray,Edible
Knobbed,Yellow,None,Brown,Edible
Flat,Brown,None,Gray,Edible
Knobbed,Red,None,Gray,Poisonous
Bell,Yellow,Almond,Black,Edible
Flat,Red,None,Black,Poisonous
Flat,Yellow,Almond,Black,Edible
Knobbed,White,Foul,White,Poisonous
Conical,Red,Foul,Gray,Poisonous
Knobbed,Red,None,Gray,Poisonous
Bell,Brown,Foul,Brown,Poisonous
Conical,Brown,None,White,Edible
Bell,Red,None,Black,Poisonous
Flat,Yellow,None,Brown,Edible
Bell,Yellow,Almond,Black,Edible
Bell,Brown,None,Brown,Edible
Bell,Brown,None,Brown,Edible
Flat,Red,Foul,White,Poisonous
Bell,Brown,Foul,White,Poisonous
Conical,White,None,Gray,Edible
Knobbed,Yellow,None,White,Edible
Bell,White,None,Gray,Edible
Flat,Brown,Foul,Brown,Poisonous
Conical,Red,None,Brown,Poisonous
Bell,Red,None,White,Poisonous
